country_code,population,gdp
BDI,9232753,2026864414
COM,683081,543376206.1
ERI,5741159,2117039511
ETH,87095281,26311310605
KEN,40909194,32198151217
MDG,21079532,8837041787
MWI,15013694,5398616985
MUS,1230659,9718331363
MOZ,23967265,9274448732
RWA,10836732,5624506157
SYC,91208,969973774.8
SSD,9940929,15178973598
UGA,33987213,16030996179
TZA,44973330,22915004297
ZMB,13216985,16190196832
ZWE,13076978,7433314460
AGO,19549124,82470894868
CMR,20624343,22493301699
CAF,4349921,1986014759
TCD,11720781,10657705072
COG,4111715,12007880067
COD,62191161,13138775753
GNQ,696167,12261420852
GAB,1556222,14507032806
STP,178228,201037916.6
DZA,37062820,1.61E+11
EGY,78075705,2.19E+11
MAR,31642360,90770671432
SDN,35652002,64849930758
TUN,10631830,44377742071
BWA,1969341,13746712706
LSO,2008921,2203835214
NAM,2178967,11065912279
ZAF,51452352,3.63E+11
SWZ,1193148,3691050503
BEN,9509798,6558416322
BFA,15540284,9209288383
CPV,487601,1664310632
CIV,18976588,22920779598
GMB,1680640,951805801.4
GHA,24262901,32174210793
GIN,10876033,4735956476
GNB,1586624,835390893
LBR,3957990,1292696476
MLI,13985961,9422267260
MRT,3609420,3671380305
NER,15893746,5718589550
NGA,159707780,2.30E+11
SEN,12950564,12932427724
SLE,5751976,2575466372
TGO,6306014,3172945282
CHN,1359821465,5.93E+12
HKG,7049514,2.29E+11
MAC,534626,28359706123
JPN,127352833,5.50E+12
MNG,2712738,6200357070
KOR,48453931,1.01E+12
KAZ,15921127,1.48E+11
KGZ,5334223,4794361821
TJK,7627326,5642221529
TKM,5041995,22148070175
UZB,27769270,39332771014
AFG,28397812,15936784436
BGD,151125475,1.00E+11
BTN,716939,1585319109
IND,1205624648,1.71E+12
IRN,74462314,4.23E+11
MDV,325694,2134104884
NPL,26846016,16010389262
PAK,173149306,1.77E+11
LKA,20758779,49567521670
BRN,400569,12369708859
KHM,14364931,11242266334
IDN,240676485,7.09E+11
LAO,6395713,7181441152
MYS,28275835,2.48E+11
PHL,93444322,2.00E+11
SGP,5078969,2.17E+11
THA,66402316,3.19E+11
TLS,1079450,934300000
VNM,89047397,1.16E+11
ARM,2963496,9260297329
AZE,9094718,52905998879
BHR,1251513,25713547869
CYP,1103685,23132450331
GEO,4388674,11638236643
IRQ,30962380,1.43E+11
ISR,7420368,2.32E+11
JOR,6454554,26425379367
KWT,2991580,1.20E+11
LBN,4341092,37124378109
OMN,2802768,58813004375
QAT,1749713,1.27E+11
SAU,27258387,5.27E+11
TUR,72137546,7.31E+11
ARE,8441537,2.87E+11
YEM,22763008,31883409719
BLR,9491070,55220932614
BGR,7389175,47727325909
CZE,10553701,1.98E+11
HUN,10014633,1.28E+11
POL,38198754,4.70E+11
MDA,3573024,5811622394
ROU,21861476,1.65E+11
RUS,143617913,1.52E+12
SVK,5433437,87077443709
UKR,46050220,1.36E+11
DNK,5550959,3.13E+11
EST,1298533,18909381437
FIN,5367693,2.35E+11
ISL,318042,12564891658
IRL,4467561,2.08E+11
LVA,2090519,24009680460
LTU,3068457,36306384146
NOR,4891251,4.21E+11
SWE,9382297,4.63E+11
GBR,62066350,2.29E+12
ALB,3150143,11858166295
BIH,3845929,16775469778
HRV,4338027,58873839435
GRC,11109999,2.92E+11
ITA,60508978,2.04E+12
MLT,424738,8163841060
MNE,620078,4114780574
PRT,10589792,2.27E+11
SRB,9647109,36990001284
SVN,2054232,46908328071
ESP,46182038,1.38E+12
MKD,2102216,9338665631
AUT,8401924,3.75E+11
BEL,10941288,4.68E+11
FRA,63230866,2.55E+12
DEU,83017404,3.28E+12
LUX,507885,51713947368
MCO,36845,5350993377
NLD,16615243,7.72E+11
CHE,7830534,5.51E+11
ATG,87233,1161528616
ABW,101597,2467703911
BHS,360498,7888087000
BRB,280396,4433700000
CUB,11281768,64328220000
DMA,71167,471851098.5
DOM,10016797,51748279416
GRD,104677,783602099.1
HTI,9896400,6634579143
JAM,2741485,13202998398
PRI,3709671,97147300000
KNA,52352,675553707.8
LCA,177397,1208853571
VCT,109316,674762008.5
TTO,1328095,20667611846
BLZ,308595,1397900000
CRI,4669685,36298327620
SLV,6218195,21418300000
GTM,14341576,41338161799
HND,7621204,15729644901
MEX,117886404,1.05E+12
NIC,5822209,8586295846
PAN,3678128,26589600000
ARG,40374224,3.69E+11
BOL,10156601,19649724656
BRA,195210154,2.14E+12
CHL,17150760,2.18E+11
COL,46444798,2.87E+11
ECU,15001072,67513698000
GUY,786126,2259288026
PRY,6459721,20028375554
PER,29262830,1.58E+11
SUR,524960,4368007285
URY,3371982,38846222985
VEN,29043283,3.94E+11
BMU,64951,5744414000
CAN,34126240,1.58E+12
USA,312247116,1.50E+13
AUS,22404488,1.14E+12
NZL,4368136,1.43E+11
FJI,860559,3225095136
PNG,6858945,9480047959
SLB,526447,678625481.7
VUT,236299,700804045.2
KIR,97743,150431113.6
MHL,52428,163200000
FSM,103619,294117230.5
PLW,20470,196543326.1
WSM,186029,572160378.3
TON,104098,369212477.5
TUV,9827,31824701.28
