DATE,GDP
1/1/50,2084.6
4/1/50,2147.6
7/1/50,2230.4
10/1/50,2273.4
1/1/51,2304.5
4/1/51,2344.5
7/1/51,2392.8
10/1/51,2398.1
1/1/52,2423.5
4/1/52,2428.5
7/1/52,2446.1
10/1/52,2526.4
1/1/53,2573.4
4/1/53,2593.5
7/1/53,2578.9
10/1/53,2539.8
1/1/54,2528
4/1/54,2530.7
7/1/54,2559.4
10/1/54,2609.3
1/1/55,2683.8
4/1/55,2727.5
7/1/55,2764.1
10/1/55,2780.8
1/1/56,2770
4/1/56,2792.9
7/1/56,2790.6
10/1/56,2836.2
1/1/57,2854.5
4/1/57,2848.2
7/1/57,2875.9
10/1/57,2846.4
1/1/58,2772.7
4/1/58,2790.9
7/1/58,2855.5
10/1/58,2922.3
1/1/59,2976.6
4/1/59,3049
7/1/59,3043.1
10/1/59,3055.1
1/1/60,3123.2
4/1/60,3111.3
7/1/60,3119.1
10/1/60,3081.3
1/1/61,3102.3
4/1/61,3159.9
7/1/61,3212.6
10/1/61,3277.7
1/1/62,3336.8
4/1/62,3372.7
7/1/62,3404.8
10/1/62,3418
1/1/63,3456.1
4/1/63,3501.1
7/1/63,3569.5
10/1/63,3595
1/1/64,3672.7
4/1/64,3716.4
7/1/64,3766.9
10/1/64,3780.2
1/1/65,3873.5
4/1/65,3926.4
7/1/65,4006.2
10/1/65,4100.6
1/1/66,4201.9
4/1/66,4219.1
7/1/66,4249.2
10/1/66,4285.6
1/1/67,4324.9
4/1/67,4328.7
7/1/67,4366.1
10/1/67,4401.2
1/1/68,4490.6
4/1/68,4566.4
7/1/68,4599.3
10/1/68,4619.8
1/1/69,4691.6
4/1/69,4706.7
7/1/69,4736.1
10/1/69,4715.5
1/1/70,4707.1
4/1/70,4715.4
7/1/70,4757.2
10/1/70,4708.3
1/1/71,4834.3
4/1/71,4861.9
7/1/71,4900
10/1/71,4914.3
1/1/72,5002.4
4/1/72,5118.3
7/1/72,5165.4
10/1/72,5251.2
1/1/73,5380.5
4/1/73,5441.5
7/1/73,5411.9
10/1/73,5462.4
1/1/74,5417
4/1/74,5431.3
7/1/74,5378.7
10/1/74,5357.2
1/1/75,5292.4
4/1/75,5333.2
7/1/75,5421.4
10/1/75,5494.4
1/1/76,5618.5
4/1/76,5661
7/1/76,5689.8
10/1/76,5732.5
1/1/77,5799.2
4/1/77,5913
7/1/77,6017.6
10/1/77,6018.2
1/1/78,6039.2
4/1/78,6274
7/1/78,6335.3
10/1/78,6420.3
1/1/79,6433
4/1/79,6440.8
7/1/79,6487.1
10/1/79,6503.9
1/1/80,6524.9
4/1/80,6392.6
7/1/80,6382.9
10/1/80,6501.2
1/1/81,6635.7
4/1/81,6587.3
7/1/81,6662.9
10/1/81,6585.1
1/1/82,6475
4/1/82,6510.2
7/1/82,6486.8
10/1/82,6493.1
1/1/83,6578.2
4/1/83,6728.3
7/1/83,6860
10/1/83,7001.5
1/1/84,7140.6
4/1/84,7266
7/1/84,7337.5
10/1/84,7396
1/1/85,7469.5
4/1/85,7537.9
7/1/85,7655.2
10/1/85,7712.6
1/1/86,7784.1
4/1/86,7819.8
7/1/86,7898.6
10/1/86,7939.5
1/1/87,7995
4/1/87,8084.7
7/1/87,8158
10/1/87,8292.7
1/1/88,8339.3
4/1/88,8449.5
7/1/88,8498.3
10/1/88,8610.9
1/1/89,8697.7
4/1/89,8766.1
7/1/89,8831.5
10/1/89,8850.2
1/1/90,8947.1
4/1/90,8981.7
7/1/90,8983.9
10/1/90,8907.4
1/1/91,8865.6
4/1/91,8934.4
7/1/91,8977.3
10/1/91,9016.4
1/1/92,9123
4/1/92,9223.5
7/1/92,9313.2
10/1/92,9406.5
1/1/93,9424.1
4/1/93,9480.1
7/1/93,9526.3
10/1/93,9653.5
1/1/94,9748.2
4/1/94,9881.4
7/1/94,9939.7
10/1/94,10052.5
1/1/95,10086.9
4/1/95,10122.1
7/1/95,10208.8
10/1/95,10281.2
1/1/96,10348.7
4/1/96,10529.4
7/1/96,10626.8
10/1/96,10739.1
1/1/97,10820.9
4/1/97,10984.2
7/1/97,11124
10/1/97,11210.3
1/1/98,11321.2
4/1/98,11431
7/1/98,11580.6
10/1/98,11770.7
1/1/99,11864.7
4/1/99,11962.5
7/1/99,12113.1
10/1/99,12323.3
1/1/00,12359.1
4/1/00,12592.5
7/1/00,12607.7
10/1/00,12679.3
1/1/01,12643.3
4/1/01,12710.3
7/1/01,12670.1
10/1/01,12705.3
1/1/02,12822.3
4/1/02,12893
7/1/02,12955.8
10/1/02,12964
1/1/03,13031.2
4/1/03,13152.1
7/1/03,13372.4
10/1/03,13528.7
1/1/04,13606.5
4/1/04,13706.2
7/1/04,13830.8
10/1/04,13950.4
1/1/05,14099.1
4/1/05,14172.7
7/1/05,14291.8
10/1/05,14373.4
1/1/06,14546.1
4/1/06,14589.6
7/1/06,14602.6
10/1/06,14716.9
1/1/07,14726
4/1/07,14838.7
7/1/07,14938.5
10/1/07,14991.8
1/1/08,14889.5
4/1/08,14963.4
7/1/08,14891.6
10/1/08,14577
1/1/09,14375
4/1/09,14355.6
7/1/09,14402.5
10/1/09,14541.9
1/1/10,14604.8
4/1/10,14745.9
7/1/10,14845.5
10/1/10,14939
1/1/11,14881.3
4/1/11,14989.6
7/1/11,15021.1
10/1/11,15190.3
1/1/12,15291
4/1/12,15362.4
7/1/12,15380.8
10/1/12,15384.3
1/1/13,15491.9
4/1/13,15521.6
7/1/13,15641.3
10/1/13,15793.9
1/1/14,15747
4/1/14,15900.8
7/1/14,16094.5
10/1/14,16186.7
1/1/15,16269
4/1/15,16374.2
7/1/15,16454.9
10/1/15,16490.7
1/1/16,16525
4/1/16,16570.2
